STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-001820,0.3308152800757723,82.0,4.8,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,0.0,0
STF-001817,-0.4009111141305953,113.1,14.6,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)F,0.045112781954887216,0
STF-001033,1.7955864944240147,118.4,7.9,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,0.0625,0
STF-001342,-0.4009111141305953,64.7,3.3,C1CN(C=CC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,0.0583941605839416,-1
STF-006501,-0.7674335242015328,103.0,-10.1,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0.14705882352941174,0
STF-007235,0.3308152800757723,70.9,9.7,CC(C)C1=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,0.0,0
STF-007466,-0.4009111141305953,106.3,-15.4,CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C,0.0,0
STF-007477,1.7955864944240147,122.3,18.5,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,0.5660377358490566,0
STF-006707,-0.4009111141305953,127.6,-8.4,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,0.0,0
STF-007895,1.7955864944240147,57.6,-3.0,CC1=NN(C(=O)C1)C2=CC=CC=C2,0.0274822695035461,-1
STF-002130,0.3308152800757723,76.2,13.4,C1CCN(C(C1)CN2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl,0.05319148936170213,0
STF-007410,-0.9506947292370014,114.1,-20.5,COC1=C(C=C2CC3=CC(=C(C=C3CC4=CC(=C(C=C4CC2=C1)OC)OC)OC)OC)OC,0.01098901098901099,0
STF-001608,-0.9506947292370014,114.0,1.3,C(CC(C(=O)O)N)CN=C(N)NO,0.05333333333333334,0
STF-007039,-0.7674335242015328,74.5,-40.5,CC(C12CC3CC(C1)CC(C3)C2)N,0.13703703703703704,0
STF-006449,-0.4009111141305953,94.5,14.7,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N,0.053435114503816786,0
STF-006572,-0.7674335242015328,98.5,16.2,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,0.0,0
STF-001732,-0.7674335242015328,98.2,10.4,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,0.2540792540792541,0
STF-001763,1.7955864944240147,95.0,11.2,C=CCN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,0.020618556701030927,0
STF-007194,-0.4009111141305953,143.1,30.5,CC1=C2C(C(=O)OC3C2(C(CC1)C4(C=CC(=O)C(C4C3)(C)C)C)C)O,0.0,1
STF-006737,-0.7674335242015328,126.7,-33.6,C1=CN=CC=C1C(=O)NN,0.19520958083832332,0
STF-001164,-0.4009111141305953,67.8,-9.7,CC1CCCC=CC2CC(CC2(CC=CC(=O)O1)O)O,0.1366906474820144,-1
STF-001649,-0.9506947292370014,86.7,-6.2,CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6O)OC)O)O)C,0.08333333333333333,0
STF-006535,-0.9506947292370014,80.9,10.8,C(C1C(C(C(C(=O)O1)O)O)O)O,0.0,0
STF-001441,0.3308152800757723,95.5,10.3,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,0.4716981132075472,0
STF-007241,-0.4009111141305953,5.4,63.4,CC(=CCCC1(C=CC2=C(O1)C(=C3C(=C2O)C(=O)C4=CC5CC6C4(O3)C(C5=O)(OC6(C)C)CC=C(C)C(=O)O)CC=C(C)C)C)C,0.22115384615384612,-1
STF-006047,-0.7674335242015328,13.0,6.9,CC1=C(C(=O)C=CN1C)O,0.017948717948717947,-1
STF-006469,0.3308152800757723,85.9,-14.1,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,0.009356725146198829,0
STF-006854,0.3308152800757723,93.5,10.1,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,0.0,0
STF-001626,0.3308152800757723,102.2,-1.3,C1=C(C(=CC(=C1O)O)O)CC(C(=O)O)N,0.274247491638796,0
STF-007708,-0.4009111141305953,24.8,18.8,CC(=CCCC1(C=CC2=C(O1)C(=C3C(=C2O)C(=O)C4=CC5CC6C4(O3)C(C5O)(OC6(C)C)CC=C(C)C(=O)O)CC=C(C)C)C)C,0.2916666666666667,-1
STF-006546,-0.9506947292370014,104.6,-10.8,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,0.04830917874396135,0
STF-007434,1.7955864944240147,111.3,-1.5,COC1=CC2=C(C=C1)C(=O)C(=C(O2)C3=CC=CC=C3)OC,0.0410958904109589,0
STF-006542,1.7955864944240147,107.9,9.6,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,0.0,0
STF-006457,0.3308152800757723,69.8,-14.1,CCN(CC)CCNC(=O)COC1=CC=C(C=C1)OC,0.0017730496453900707,-1
STF-007178,1.7955864944240147,116.3,-8.5,CC12CCC(=O)CC1CCC3=C2C=CC=C3OC,0.0,0
STF-001436,1.7955864944240147,116.6,18.4,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.2734082397003745,0
STF-006746,1.7955864944240147,95.3,-26.4,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,0.0,0
STF-002204,-0.7674335242015328,96.0,-12.3,CC12CC=C3C(C1CCC2C(=O)CN4CCN(CC4)C5=NC(=NC(=C5)N6CCCC6)N7CCCC7)CCC8=CC(=O)C=CC83C,0.05172413793103448,0
STF-007678,1.7955864944240147,123.9,3.8,C1=CC(=O)C=CC1=C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,0.10805860805860806,0
STF-001563,0.3308152800757723,93.7,-20.2,CCCN(CCC)C1CCC2=C(C1)C=C(C=C2)O,0.12857142857142856,0
STF-002133,-0.4009111141305953,109.6,1.1,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,0.026490066225165563,0
STF-001450,0.3308152800757723,76.3,4.0,CCCN1CCC2=C3C1CC4=C(C3=CC(=C2)O)C(=C(C=C4)O)O,0.1952662721893491,0
STF-001350,1.7955864944240147,57.7,35.2,C1CC1C2=CC=CC=C2OCC3=NCCN3,0.06334841628959276,-1
STF-006435,-0.7674335242015328,123.4,1.5,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,0.0019801980198019802,0
STF-001109,-0.4009111141305953,94.6,-7.8,CC(C)C1C2CCC(C2)C1N,0.2,0
STF-007601,-0.4009111141305953,147.3,-7.3,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCO)C)C)C)C)C)C)C)C)C,0.0,1
STF-007736,-0.7674335242015328,127.1,-1.1,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,0.04019292604501608,0
STF-001451,-0.9506947292370014,99.9,4.6,CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)Cl,0.27734375,0
STF-007484,-0.9506947292370014,128.0,-10.7,CC1(CCC(C2(C1C(C(C3(C2(C(=O)CC(O3)(C)C=C)O)C)O)O)C)O)C,1.0,0
STF-002150,-0.7674335242015328,100.6,-17.1,CC1=NC(=NNC2=CC=CC=C2)C(=O)C=C1,0.0,0
STF-007434,-0.7674335242015328,85.3,-6.1,COC1=CC2=C(C=C1)C(=O)C(=C(O2)C3=CC=CC=C3)OC,0.0410958904109589,0
STF-001585,0.3308152800757723,114.6,-7.6,C1=C(ONC1=O)CN,0.11,0
STF-006304,-0.9506947292370014,79.8,-16.9,CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3,0.05555555555555555,0
STF-007321,-0.7674335242015328,123.6,10.6,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,0.3108108108108108,0
STF-001873,1.7955864944240147,112.6,-5.6,C=CCN1CCC23C4C(=NNC(=O)C5=CC=CC=C5)CCC2(C1CC6=C3C(=C(C=C6)O)O4)O,0.0,0
STF-006532,-0.7674335242015328,108.6,4.6,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC,0.008264462809917356,0
STF-001845,-0.9506947292370014,96.6,-15.6,C1COCCN1[N+]2=NOC(=C2)N,0.035294117647058816,0
STF-002224,-0.4009111141305953,103.0,1.1,CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC,0.036231884057971016,0
STF-006764,-0.9506947292370014,98.9,-6.8,C1CNCCN1,0.008264462809917356,0
STF-007461,-0.7674335242015328,102.7,4.7,C1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=CC4=C3C=CO4)O,0.040540540540540536,0
STF-001239,-0.7674335242015328,70.4,-4.2,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,0.0049800796812749,0
STF-007136,1.7955864944240147,93.8,21.9,CC(C)C(=C1C2C(C(C(C34C25C(C6(C(C7(CC6(C3(C7CC(=O)OC)C)OC(O4)(O5)C)C)OC(=O)C(C)C)O)OC(=O)C)OC(=O)C)OC(=O)C)(C(OC1=O)C8=COC=C8)C)O,0.0,0
STF-006672,-0.9506947292370014,84.2,10.4,CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O,0.028169014084507043,0
STF-001367,-0.4009111141305953,119.3,-9.1,CC1OC(CS1)C[N+](C)(C)C,0.03759398496240601,0
STF-007477,0.3308152800757723,112.2,-2.0,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,0.5660377358490566,0
STF-007297,-0.7674335242015328,111.1,-10.0,COC1=CC2=C(C=C1)C(=O)C(=CC3=CC(=C(C=C3)OC)O)CO2,0.1375,0
