STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-001012,5.56,91.5,3.2,C1=CC(=CC=C1CSC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)N)[N+](=O)[O-],0.0,0
STF-001012,11.11,100.5,-7.6,C1=CC(=CC=C1CSC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)N)[N+](=O)[O-],0.0,0
STF-001012,22.22,120.9,9.4,C1=CC(=CC=C1CSC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)N)[N+](=O)[O-],0.0,0
STF-001092,1.39,71.1,-6.6,CC(C)(C)C1=C(C(=NO1)OCP(=O)(O)O)CC(C(=O)O)N,0.035211267605633804,0
STF-001092,2.78,104.1,-13.5,CC(C)(C)C1=C(C(=NO1)OCP(=O)(O)O)CC(C(=O)O)N,0.035211267605633804,0
STF-001092,5.56,127.3,-34.6,CC(C)(C)C1=C(C(=NO1)OCP(=O)(O)O)CC(C(=O)O)N,0.035211267605633804,0
STF-001092,11.11,119.1,11.2,CC(C)(C)C1=C(C(=NO1)OCP(=O)(O)O)CC(C(=O)O)N,0.035211267605633804,0
STF-001092,22.22,98.4,10.2,CC(C)(C)C1=C(C(=NO1)OCP(=O)(O)O)CC(C(=O)O)N,0.035211267605633804,0
STF-001013,1.39,91.1,-14.7,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCN,0.0958904109589041,0
STF-001013,2.78,90.3,-12.6,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCN,0.0958904109589041,0
STF-001013,5.56,100.4,-9.7,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCN,0.0958904109589041,0
STF-001013,11.11,110.9,1.3,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCN,0.0958904109589041,0
STF-001013,22.22,107.3,-1.1,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCN,0.0958904109589041,0
STF-001014,1.39,107.9,-5.5,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,0.04792332268370607,0
STF-001014,2.78,78.2,-2.4,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,0.04792332268370607,0
STF-001014,5.56,108.9,-19.8,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,0.04792332268370607,0
STF-001014,11.11,115.7,12.1,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,0.04792332268370607,0
STF-001014,22.22,92.2,6.4,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,0.04792332268370607,0
STF-001016,1.39,114.6,-8.1,C1CCN(C1)CCOC(=O)CC2=CC(=C(C=C2)Cl)Cl,0.04054054054054054,0
STF-001016,2.78,108.8,-7.5,C1CCN(C1)CCOC(=O)CC2=CC(=C(C=C2)Cl)Cl,0.04054054054054054,0
STF-001016,5.56,112.7,-17.1,C1CCN(C1)CCOC(=O)CC2=CC(=C(C=C2)Cl)Cl,0.04054054054054054,0
STF-001016,11.11,90.2,-19.3,C1CCN(C1)CCOC(=O)CC2=CC(=C(C=C2)Cl)Cl,0.04054054054054054,0
STF-001016,22.22,110.9,-4.1,C1CCN(C1)CCOC(=O)CC2=CC(=C(C=C2)Cl)Cl,0.04054054054054054,0
STF-001096,1.39,77.2,-11.0,C1CCC(CC1)N=C(NC23CC4CC(C2)CC(C4)C3)N5CCOCC5,0.08620689655172414,0
STF-001096,2.78,90.8,-13.8,C1CCC(CC1)N=C(NC23CC4CC(C2)CC(C4)C3)N5CCOCC5,0.08620689655172414,0
STF-001096,5.56,78.7,-25.3,C1CCC(CC1)N=C(NC23CC4CC(C2)CC(C4)C3)N5CCOCC5,0.08620689655172414,0
STF-001096,11.11,90.0,12.1,C1CCC(CC1)N=C(NC23CC4CC(C2)CC(C4)C3)N5CCOCC5,0.08620689655172414,0
STF-001096,22.22,113.4,11.7,C1CCC(CC1)N=C(NC23CC4CC(C2)CC(C4)C3)N5CCOCC5,0.08620689655172414,0
STF-001017,1.39,88.7,-22.8,CN(C)C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,0.015267175572519083,0
STF-001017,2.78,91.6,-12.9,CN(C)C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,0.015267175572519083,0
